seqCorp,法人コード,法人の名称,法人の名称フリガナ,法人区分,行政庁,法人番号(JCN),郵便番号,主たる事務所の住所,代表電話番号,代表者の氏名,ホームページアドレス,事業年度,事業の種類,事業の概要,税額控除に係る証明
1,,,,,,,,,,,,,,,
2,A008510,一般社団法人日立港植物検疫協会,イッパンシャダンホウジンヒタチコウショクブツケンエキキョウカイ,一般社団法人,茨城県,5050005007196,319-1231,茨城県日立市留町２４３５番地の１０,0294-52-1859,関　義昭,no page,04月01日～03月31日,,農林産物の受検及び有害動植物の防除等の措置を講じ、及びこれらの啓蒙普及を行う。また消毒作業等について講習を行う。,
3,A017267,一般社団法人千葉県配合飼料価格安定基金協会,イッパンシャダンホウジンチバケンハイゴウシリョウカカクアンテイキキンキョウカイ,一般社団法人,千葉県,7040005001272,260-0854,千葉県千葉市中央区長洲１丁目１５番７号,043-224-7824,伊藤　富治,,04月01日～03月31日,,原料価格の変動に起因する配合飼料価格の変動によって生ずる畜産経営者の損失の補てん、並びに畜産経営の安定対策等畜産の振興に関する事業を実施し、畜産の健全な発展を図る。,
4,A014117,特財内閣府テスト研究所,トクザイテストケンキュウジョ,特例財団法人,ゲスト行政庁,2999914000001,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
5,A008460,公益財団法人高槻市文化スポーツ振興事業団,コウエキザイダンホウジンタカツキシブンカスポーツシンコウジギョウダン,公益財団法人,大阪府,3120905004691,569-0077,大阪府高槻市野見町６番８号,072-671-1063,桐山　清澄,https://www.takatsuki-bsj.jp/,04月01日～03月31日,"文化及び芸術の振興を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",地域の芸術文化の振興を図る事業、スポーツ活動の振興を図る事業及び高槻市の文化施設（高槻市立文化会館等）の管理運営,
6,A017827,一般社団法人東京都東久留米市歯科医師会,イッパンシャダンホウジントウキョウトヒガシクルメシシカイシカイ,一般社団法人,東京都,2012705000040,203-0033,東京都東久留米市滝山４丁目３番１４号,042-475-8903,小玉　剛,,04月01日～03月31日,,医道の高揚、歯科医学の進歩発達と公衆衛生の普及及び向上を図り、もって、地域社会の福祉を増進することを目的とする事業,
7,A014261,特社内閣府テスト研究所,トクシャテストケンキュウジョ,特例社団法人,ゲスト行政庁,1999914000002,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
8,A014125,公財内閣府テスト研究所,コウザイテストケンキュウジョ,公益財団法人,ゲスト行政庁,9999914000003,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
9,,,,,,,,,,,,,,,
10,A017498,一般社団法人小松市医師会,イッパンシヤダンホウジンコマツシイシカイ,一般社団法人である移行法人,石川県,7220005003399,923-0918,石川県小松市京町８１番地２,0761-22-2714,村井　裕,https://www.ishikawa.med.or.jp/gunshi/komatsu/,04月01日～03月31日,,非営利型一般社団法人として事業活動が円滑に行えるよう、医道の高揚、医学教育の向上、公衆衛生の指導啓発、地域医療の推進発展、地域保健の向上、看護師等の養成などを中心とした諸活動を行っている。,
